,Tiempo[ms],AnguloDeg,AnguloRad
0,9,-30.710388183594,-0.5359973883692761
1,42,-30.017673492431598,-0.5239072362315564
2,75,-28.762546539306598,-0.5020011383690006
3,108,-26.50752258301,-0.46264354562027643
4,142,-24.611228942871094,-0.4295469780152239
5,175,-21.586334228515597,-0.3767526057235471
6,209,-17.438781738280994,-0.3043641588696633
7,242,-13.739822387695298,-0.23980513930451175
8,275,-9.054748535156193,-0.15803517487860907
9,308,-3.368286132809999,-0.058787683166801497
10,342,1.3091125488280966,0.022848324256225405
11,375,6.696548461914105,0.11687681917976334
12,409,12.506591796899997,0.21828120505881898
13,442,17.75996398926,0.3099698466482139
14,475,21.767578125,0.37991590846634393
15,508,25.973320007324006,0.45331995180192175
16,542,29.630928039550994,0.5171572547116736
17,575,32.71321105957,0.5709532418893195
18,608,35.211273193359006,0.6145526510433328
19,642,37.12109375,0.647885307878989
20,675,38.43795776367199,0.6708689207185925
21,708,39.15751647949199,0.6834275894710737
22,742,39.27893066406301,0.6855466667504624
23,775,38.80400085449199,0.6772575778575782
24,808,37.73429107666,0.6585876201936331
25,842,36.71426391602,0.6407847877806958
26,875,33.818748474120994,0.5902485097772199
27,908,30.983238220215,0.5407595198724997
28,941,27.581489562987997,0.4813878054785925
29,975,23.647155761719006,0.41272072677394434
30,1008,19.237167358397997,0.3357519091612251
31,1041,14.43822479248,0.251994560771851
32,1075,9.369636535644503,0.16353100726215164
33,1108,4.173614501953097,0.07284331476806494
34,1141,-1.0024566650391051,-0.0174961694134943
35,1175,-6.0177688598632955,-0.1050298802285996
36,1208,-10.745338439941406,-0.18754153501808846
37,1241,-15.081008911132798,-0.2632132600218722
38,1275,-18.482879638672003,-0.32258710494464626
39,1308,-22.296600341796903,-0.38914908796564895
40,1341,-25.09814453125,-0.43804525821172136
41,1375,-27.3412666320801,-0.47719512439545886
42,1408,-29.020980834960902,-0.5065116677282409
43,1441,-30.134860992431598,-0.5259525439487374
44,1475,-30.682216644287102,-0.5355057022530156
45,1508,-30.662990570068402,-0.5351701439556666
46,1541,-30.076774597167997,-0.5249387451007728
47,1575,-28.207878112792997,-0.4923203480694822
48,1608,-27.189117431640597,-0.47453961989351257
49,1641,-24.8751983642578,-0.43415411354300626
50,1675,-21.758605957030994,-0.3797593145942426
51,1708,-18.4992218017578,-0.3228723294973912
52,1741,-14.475357055664105,-0.2526426410231306
53,1775,-9.633407592772997,-0.16813468068050996
54,1808,-5.058113098144503,-0.08828072750087257
55,1841,0.10679626464839487,0.0018639464469456524
56,1874,5.373153686523395,0.09377922304550457
57,1908,10.580253601074006,0.1846602610347281
58,1941,15.577743530272997,0.27188291463450875
59,1974,20.232803344727003,0.3531290352740075
60,2008,24.441352844237997,0.4265820807736338
61,2041,28.134101867675994,0.49103270968243207
62,2074,31.271308898925994,0.5457873016944612
63,2108,33.834907531738,0.5905305385366559
64,2141,35.821128845215,0.6251966401301159
65,2174,37.231384277344006,0.6498102407149027
66,2208,38.65078735352,0.6745834978071095
67,2241,38.31823730468801,0.6687794045273234
68,2274,37.987060546875,0.6629992796974067
69,2308,37.71556091309,0.6582607171698993
70,2341,35.575210571289006,0.6209045565592861
71,2374,33.502922058105,0.5847362989529672
72,2408,30.862533569335994,0.538652826292191
73,2441,27.670310974120994,0.48293803154913073
74,2474,23.955169677734006,0.4180965837503674
75,2508,19.762901306152003,0.3449276975390403
76,2541,15.165771484375,0.2646926460074115
77,2574,10.269340515137003,0.17923380399759137
78,2608,5.205993652343807,0.09086173007132436
79,2641,0.12190246582029829,0.002127599394864177
80,2674,-4.836631774902301,-0.08441514917862247
81,2708,-9.536346435546903,-0.16644064391111857
82,2741,-13.867408752441406,-0.24203194144998186
83,2774,-17.750221252441406,-0.309799803812574
84,2807,-21.134819030761705,-0.3688721788999485
85,2841,-23.36676025391,-0.4078269019548757
86,2874,-26.313991546630902,-0.4592657918306642
87,2907,-28.088878631591797,-0.4902434153143562
88,2941,-29.3114395141602,-0.5115811280212625
89,2974,-29.76318359375,-0.5194655495864959
90,3008,-30.080410003662102,-0.5250021949137431
91,3041,-29.6208267211914,-0.5169809534475063
92,3074,-28.5949668884277,-0.49907632170182126
93,3107,-26.290466308600003,-0.4588551989697096
94,3141,-24.826843261718693,-0.4333101577935594
95,3174,-22.071884155273395,-0.385227050628288
96,3207,-18.743865966796903,-0.3271421756731161
97,3241,-14.878959655761705,-0.2596868352644437
98,3274,-10.541664123535199,-0.1839867475950514
99,3307,-5.820930480957003,-0.1015944024223967
100,3341,-0.82958984375,-0.014479074214542864
101,3374,4.292449951171903,0.07491738462501951
102,3407,9.386482238769503,0.16382502024649637
103,3441,14.299423217772997,0.2495720162862609
104,3474,18.904357910155994,0.32994328850765653
105,3507,23.104179382324006,0.4032440011929437
106,3541,26.82592010498,0.46820063070884377
107,3574,30.173110961909998,0.5266201318549228
108,3607,32.647468566895,0.5698058189336725
109,3641,34.70475769043,0.6057122878048267
110,3674,36.188697814940994,0.6316119288799982
111,3707,37.103057861328,0.6475705222381394
112,3741,37.452941894530994,0.6536771506176886
113,3774,37.24104309082,0.6499788188118947
114,3807,36.465873718262,0.636449561000139
115,3840,35.125663757324006,0.6130584845137466
116,3874,33.222442626953,0.5798410093952442
117,3907,30.764366149902003,0.5369394816048816
118,3940,27.766654968262003,0.4846195514614138
119,3974,24.252243041992003,0.4232814920766459
120,4007,20.25927734375,0.3535910937231286
121,4040,15.85375213623,0.27670017357229804
122,4074,11.133087158202997,0.19430902682214124
123,4107,6.219352722167997,0.10854818234470365
124,4140,1.2497940063476989,0.021813020382458248
125,4174,-3.634239196777301,-0.063429439788798
126,4207,-8.300132751464801,-0.14486464486567696
127,4240,-12.636001586914105,-0.2205398319788796
128,4274,-16.557273864746094,-0.28897894409422564
129,4307,-20.006500244140597,-0.3491793010613027
130,4340,-22.477691650390994,-0.39230972754736104
131,4374,-25.3583984375,-0.4425875457669606
132,4407,-27.2247276306152,-0.4751611351129097
133,4440,-28.540298461914098,-0.4981221776622744
134,4473,-29.302139282226598,-0.5114188083528222
135,4507,-29.5086669921875,-0.5150233968882436
136,4540,-29.157726287841797,-0.5088983261181432
137,4574,-28.245048522949197,-0.4929690941110245
138,4607,-26.766738891601598,-0.46716772368006554
139,4640,-24.721221923828097,-0.43146671768700706
140,4674,-22.109642028808594,-0.38588604984002894
141,4707,-18.412078857422003,-0.3213513981988496
142,4740,-15.242668151855497,-0.2660347460387573
143,4774,-11.067573547363295,-0.193165598608118
144,4807,-6.499954223632798,-0.1134456024313042
145,4840,-1.6503219604492045,-0.02880355192780626
146,4874,3.3504943847655966,0.05847715858374136
147,4907,8.356529235839801,0.14584894920457026
148,4940,13.216247558594006,0.2306670346561277
149,4973,17.789909362792997,0.31049249201210416
150,5007,21.967132568359006,0.38339879053994297
151,5040,25.673240661620994,0.44808257920217365
152,5073,28.86450958252,0.5037807291884278
153,5107,31.519157409667997,0.550113074253074
154,5140,33.627883911133,0.5869172947276993
155,5173,35.186958312988,0.6141282763236302
156,5207,36.194549560547,0.6317140611078118
157,5240,36.64924621582,0.6396500148401314
158,5273,36.549728393555,0.6379131011771926
159,5307,35.894500732422,0.6264772211402803
160,5340,34.683639526367,0.6053437063099509
161,5373,32.921318054199006,0.5745853941420256
162,5407,30.614791870117003,0.534328917946334
163,5440,27.775382995605,0.4847718842757529
164,5473,24.424179077147997,0.4262823419929427
165,5507,20.599006652832003,0.35952048873213505
166,5540,16.362640380859006,0.2855819489657687
167,5573,11.806587219237997,0.2060638203995846
168,5606,7.43701171875,0.12980034100159
169,5640,2.1988830566405966,0.0383777492046955
170,5673,-2.5948791503905966,-0.04528918486566891
171,5707,-7.204574584960895,-0.1257435477130715
172,5740,-11.514793395996094,-0.20097105744703114
173,5773,-15.440376281738295,-0.2694854038631729
174,5806,-18.234619140625,-0.31825414185108514
175,5840,-21.235153198242003,-0.370623340474727
176,5873,-24.411491394042997,-0.42606090014831066
177,5906,-26.367095947265597,-0.4601926384690378
178,5940,-27.777400970459,-0.4848071045811777
179,5973,-28.635799407959,-0.4997889836095275
180,6006,-28.394950866699,-0.49558538356591497
181,6040,-28.687255859375,-0.500687068108129
182,6073,-27.878875732421903,-0.4865781732851078
183,6106,-26.514579772949197,-0.46276671682065396
184,6140,-24.5948104858398,-0.4292604218819307
185,6173,-22.121772766113295,-0.3860977711466904
186,6206,-19.102180480957003,-0.3333959437028937
187,6240,-15.555870056152301,-0.2715011504922529
188,6273,-11.529792785644503,-0.2012328461821853
189,6306,-7.1038284301757955,-0.12398519560334775
190,6340,-2.387565612792997,-0.04167088105063388
191,6373,2.4844284057617045,0.04336145571061545
192,6406,7.363937377929702,0.12852495315555124
193,6440,12.109176635742003,0.21134500199926798
194,6473,16.599311828612997,0.2897126449745375
195,6506,20.735702514647997,0.3619062815946752
196,6540,24.440414428710994,0.4265657023329359
197,6573,27.65828704834,0.4827281744552372
198,6606,30.356498718262003,0.5298208520111105
199,6639,32.519424438477,0.5675710273049317
200,6673,34.141296386719006,0.59587803284749
201,6706,35.221481323242,0.6147308165202623
202,6739,35.762168884277,0.6241675946849008
203,6773,35.764625549315994,0.6242104715784498
204,6806,35.22590637207,0.6148080481918723
205,6839,34.141418457030994,0.5958801633763531
206,6873,32.510711669922,0.5674189608066831
207,6906,30.342781066895,0.5295814338291156
208,6939,27.657112121582003,0.48270766811484034
209,6973,24.479606628417997,0.4272497352589222
